"ID","Crop","lat","long","YieldM","Year"
102403,"Wheat",38.22,-90.33,97.6,2020
102974,"Wheat",41.02,-84.53,64.24,2020
103614,"Wheat",38.01,-88.95,77.48,2020
103616,"Wheat",38.11,-89.22,79.16,2020
103681,"Wheat",39.37,-84.86,81.49,2020
103694,"Wheat",39.15,-91.04,62.39,2020
103716,"Wheat",41.78,-83.82,83.89,2020
19463,"Wheat",40.38,-84.72,91.1,2014
19479,"Wheat",41.35,-84.58,92.87,2014
19540,"Wheat",37.73,-87.24,80.81,2014
29607,"Wheat",36.73,-87.27,74.52,2014
29953,"Wheat",38.58,-85.5,104.44,2014
29962,"Wheat",35.34,-87.45,107.78,2014
30000,"Wheat",38.14,-85.95,60.17,2014
30111,"Corn",35.25,-87.09,215.88,2014
30112,"Corn",35.21,-88.25,184.36,2014
30114,"Corn",35.47,-86.78,202.61,2014
30115,"Corn",36.7,-87.27,186.3,2014
30116,"Corn",36.73,-87.19,126.63,2014
30117,"Corn",38.22,-90.34,252.2,2014
30118,"Corn",35.26,-88.26,157.72,2014
30119,"Corn",37.15,-87.24,147.55,2014
30120,"Corn",37.87,-87.57,209,2014
30122,"Corn",37.17,-86.57,248.9,2014
30124,"Corn",41.16,-85.48,189.3,2014
30126,"Corn",36.6,-86.5,181.3,2014
30128,"Corn",40.56,-86.19,257.03,2014
30129,"Corn",36.62,-88.3,247.2,2014
30130,"Corn",36.25,-89.31,226.04,2014
30131,"Corn",36.11,-89.34,219.54,2014
30134,"Corn",39.7,-87.21,235.96,2014
30136,"Corn",37.66,-87.88,274.64,2014
30137,"Corn",39.41,-88.52,246.34,2014
30139,"Corn",38.89,-85.14,216.77,2014
30140,"Corn",39.33,-85.34,213.21,2014
30142,"Corn",39.72,-91.53,235.46,2014
30143,"Corn",38.2,-87.56,278.3,2014
30144,"Corn",38.2,-87.56,269.6,2014
30148,"Corn",38.27,-87.63,244.3,2014
30149,"Corn",38.34,-87.58,212.8,2014
30151,"Corn",40.57,-86.09,243.1,2014
30152,"Corn",37.19,-84.68,213.41,2014
30153,"Corn",40.52,-88.9,250.41,2014
30154,"Corn",40.36,-86.81,235.8,2014
30156,"Corn",38.45,-87.43,209.82,2014
30160,"Corn",38.69,-89.68,242.75,2014
30165,"Corn",39.05,-85.88,233.62,2014
30167,"Corn",36.66,-87.57,192.62,2014
30170,"Corn",40.51,-86.26,217.4,2014
30174,"Corn",39.54,-83.57,222.2,2014
30175,"Corn",39.71,-82.89,224.96,2014
30176,"Corn",38.01,-88.9,196.77,2014
30177,"Corn",39.87,-85.71,231.8,2014
30178,"Corn",40.28,-85.84,219,2014
30184,"Corn",36.76,-85.76,228.9,2014
30185,"Corn",40.18,-86.67,225.79,2014
30186,"Corn",41.79,-90.14,204.75,2014
30191,"Corn",41.3,-90.8,239.17,2014
30192,"Corn",41.22,-87.82,221.38,2014
30193,"Corn",40.92,-90.71,249.38,2014
30194,"Corn",40.86,-90.96,236.12,2014
30195,"Corn",40.75,-90.91,222.88,2014
30196,"Corn",37.44,-87.25,207.38,2014
30198,"Corn",40.74,-86.99,223.63,2014
30199,"Corn",40.75,-87.03,248.1,2014
30200,"Corn",39.73,-85.99,229.6,2014
30201,"Corn",39.7,-86.65,226.74,2014
30202,"Corn",40.48,-86.73,231.3,2014
30204,"Corn",39.97,-89.72,247.42,2014
30206,"Corn",40.94,-90.37,239.22,2014
30207,"Corn",41.25,-90.35,207.17,2014
30208,"Corn",38.33,-89.77,201.73,2014
30210,"Corn",40.13,-86.21,231.44,2014
30212,"Soybean",40.18,-86,64.86,2014
30214,"Corn",41.39,-84.13,224.1,2014
30217,"Corn",40.38,-84.72,184.9,2014
30218,"Corn",40.98,-86.87,226,2014
30219,"Corn",41.22,-87.11,186.35,2014
30220,"Corn",41.18,-87.06,207.8,2014
30221,"Corn",40.96,-87.14,207.2,2014
30222,"Corn",39.66,-88.04,219.37,2014
30223,"Corn",37.5,-86.59,218.51,2014
30225,"Corn",37.02,-85.25,206.99,2014
30227,"Corn",41.8,-88.63,218.9,2014
30230,"Corn",41.86,-88.77,208.24,2014
30231,"Corn",41,-85.77,208.4,2014
30232,"Corn",40.83,-85.59,213.9,2014
30234,"Corn",41.04,-85.43,237.32,2014
30236,"Soybean",41.02,-85.43,61.99,2014
30237,"Corn",38.88,-83.72,228.3,2014
30238,"Corn",39.27,-84.77,233.6,2014
30239,"Corn",41.43,-87.07,174.6,2014
30240,"Corn",36.7,-85.15,245.67,2014
30244,"Soybean",40.57,-86.09,62,2014
30246,"Soybean",40.71,-89.85,64.37,2014
30249,"Soybean",40.15,-88.97,70.9,2014
30250,"Corn",41.83,-83.91,229.75,2014
30251,"Soybean",40.36,-86.81,70.67,2014
30252,"Corn",40.51,-85.7,248.7,2014
30254,"Corn",40.87,-84.3,233,2014
30255,"Soybean",40.51,-86.26,70.45,2014
30258,"Corn",40.79,-89.34,234.59,2014
30260,"Soybean",41.18,-89.65,64.76,2014
30261,"Soybean",40.89,-89.77,78.9,2014
30262,"Corn",38.84,-88.38,179.7,2014
30265,"Corn",40.84,-88.95,230.58,2014
30267,"Corn",39.16,-88.19,214.4,2014
30268,"Corn",40.94,-87.92,195.02,2014
30269,"Corn",40.28,-87.58,254.15,2014
30270,"Corn",40.31,-87.89,223.9,2014
30271,"Soybean",40.31,-87.89,71.31,2014
30273,"Corn",38.25,-87.53,240.4,2014
30274,"Corn",39.98,-88.21,233.88,2014
30275,"Corn",38.13,-87.54,213.4,2014
30278,"Corn",41.26,-88.93,217.62,2014
30279,"Corn",41.05,-89.05,210.31,2014
30281,"Corn",39.03,-88.85,211.17,2014
30283,"Corn",41.21,-88.61,249.54,2014
30284,"Corn",40.88,-88.61,241.69,2014
30285,"Corn",40.84,-88.39,259.67,2014
30292,"Soybean",40.47,-89.58,64.19,2014
30293,"Corn",40.91,-88.69,206.82,2014
30294,"Corn",39.63,-85.69,220.43,2014
30298,"Corn",41.43,-89.34,239.27,2014
30299,"Corn",41.35,-89.74,195.41,2014
30300,"Corn",40.77,-88.42,216.61,2014
30301,"Corn",41.05,-89.05,211.31,2014
