"YieldM","Yieldsd","Id","PLANTED","HARVESTED","POPULATION","PC","ROWWIDTH","Soil","TILLAGE","HERBICIDE","FUNGICIDE","INSECTICIDE","Latitude","Longitude","Family","State","pYear"
97.6,10.5,"102403",2019-10-05,2019-06-01,120000," Soybeans",7.5," Sandy Clay Loam"," Min.-Till"," None",NA,NA,38.22,-90.33,"Wheat","IL",2019
64.24,8.26,"102974",2019-10-07,2019-07-06,1200000," Soybeans",7.5," Clay"," Disc / No-Till"," 2,4-D",NA,NA,41.02,-84.53,"Wheat","OH",2019
77.48,5.52,"103614",2019-10-17,2019-06-01,120000," Corn",7.5," Sandy Clay Loam"," Conv.-Till"," None",NA,NA,38.01,-88.95,"Wheat","IL",2019
79.16,6.77,"103616",2019-10-20,2019-06-20,120000," Corn",7.5," Clay Loam"," Conv.-Till"," None",NA,NA,38.11,-89.22,"Wheat","IL",2019
81.49,4.25,"103681",2019-10-21,2019-07-02,1200000," Soybeans",7.5," Clay Loam"," No-Till"," None",NA,NA,39.37,-84.86,"Wheat","IN",2019
62.39,6.87,"103694",2019-11-09,2019-07-08,1500000," Soybeans",7.5," Clay"," Field Cultivation"," None",NA,NA,39.15,-91.04,"Wheat","MO",2019
83.89,4.18,"103716",2019-10-05,2019-07-15,1750000," Soybeans",7.5," Clay Loam"," N/A"," None",NA,NA,41.78,-83.82,"Wheat","MI",2019
91.1,NA,"19463",2013-09-26,2013-07-05,1400000," Corn",7," Silty Clay Loam"," Field Cultivation / Conv.-Till"," 2,4-D",NA," None",40.38,-84.72,"Wheat","OH",2013
92.87,6.39,"19479",2013-10-02,2013-07-11,1500000," Soybeans",7.5," Clay"," No-Till"," None",NA," None",41.35,-84.58,"Wheat","OH",2013
80.81,7.72,"19540",2013-10-13,2013-06-17,1400000," Corn",15," Clay Loam"," No-Till"," Harmony Extra"," Caramba"," Declare",37.73,-87.24,"Wheat","KY",2013
74.52,6.07,"29607",2013-10-24,2013-06-20,1500000," Corn",7.5," Clay Loam"," No-Till"," Synchrony XP"," 2 oz Headline"," None",36.73,-87.27,"Wheat","KY",2013
104.44,4.95,"29953",2013-10-18,2013-06-30,1500000," Soybeans",7.5," Clay Loam"," No-Till"," None",NA," None",38.58,-85.5,"Wheat","IN",2013
107.78,4.42,"29962",201-11-15,201-07-01,1500000," Corn",7," Clay Loam"," Field Cultivation"," None",NA," None",35.34,-87.45,"Wheat","TN",201
60.17,4.23,"30000",2013-11-15,2013-07-04,1500000," Corn",7.5," Clay Loam"," Vertical-Till"," Harmony Extra"," Prosaro"," None",38.14,-85.95,"Wheat","IN",2013
215.88,8.62,"30111",201-04-12,201-08-29,30000," Soybeans",30," Clay Loam"," Vertical-Till"," Halex GT",NA," None",35.25,-87.09,"Corn","TN",201
184.36,5.67,"30112",201-04-17,201-09-02,30000," Soybeans",30," Silty Clay Loam"," No-Till"," None",NA," None",35.21,-88.25,"Corn","TN",201
202.61,15.74,"30114",201-04-18,201-09-24,30000," Soybeans",30," Clay Loam"," No-Till"," Roundup PowerMAX, Aatrex 4L",NA," None",35.47,-86.78,"Corn","TN",201
186.3,8.09,"30115",2014-04-11,2014-09-15,32500," Soybeans",30," Clay Loam"," No-Till"," Roundup, Halex GT",NA," None",36.7,-87.27,"Corn","KY",2014
126.63,8.88,"30116",2014-04-18,2014-09-15,30000," Soybeans",30," Clay Loam"," No-Till"," Roundup",NA," None",36.73,-87.19,"Corn","KY",2014
252.2,NA,"30117",2014-04-23,2014-09-10,32000," Corn",30," Sandy Loam"," V-Rip / Field Cultivation"," 5.6 oz Corvus, 2 lbs Atrazine",NA," None",38.22,-90.34,"Corn","IL",2014
157.72,12.54,"30118",201-04-17,201-09-19,32000," Corn",30," Silty Clay Loam"," Vertical-Till"," Capreno, Aatrex",NA," Declare",35.26,-88.26,"Corn","TN",201
147.55,8.25,"30119",2014-04-23,2014-09-18,31600," Corn",30," Clay Loam"," Disc"," Roundup",NA," None",37.15,-87.24,"Corn","KY",2014
209,NA,"30120",2014-04-24,2014-09-18,32000," Corn",30," Silty Clay Loam"," Disc"," Corvus, Roundup, Atrazine",NA," None",37.87,-87.57,"Corn","KY",2014
248.9,9.83,"30122",2014-04-21,2014-09-25,30100," Soybeans",30," Sandy Clay Loam"," Chisel / Disc"," Roundup, Atrazine",NA,NA,37.17,-86.57,"Corn","KY",2014
189.3,NA,"30124",2014-04-24,2014-09-25,33000," Soybeans",30," Sandy Clay"," Field Cultivation / Disk-Rip"," 1.9 qt Lumax",NA," None",41.16,-85.48,"Corn","IN",2014
181.3,11.78,"30126",201-04-23,201-10-02,28700," Soybeans",30," Clay Loam"," Conv.-Till"," Roundup",NA," None",36.6,-86.5,"Corn","TN",201
257.03,7.66,"30128",2014-04-24,2014-10-18,36000," Soybeans",30," Clay Loam"," Field Cultivation / Disk-Rip"," Lumax",NA," None",40.56,-86.19,"Corn","IN",2014
247.2,NA,"30129",2014-04-24,2014-10-09,34000," Corn",30," Clay Loam"," Field Cultivation"," Capreno, Roundup PowerMAX, Atrazine"," Headline AMP"," Poncho 1250",36.62,-88.3,"Corn","KY",2014
226.04,9.84,"30130",201-04-23,201-10-01,32000," Soybeans",30," Silt Loam"," Vertical-Till"," Roundup PowerMAX",NA," None",36.25,-89.31,"Corn","TN",201
219.54,16.23,"30131",201-04-24,201-10-02,29000," Soybeans",30," Loam"," Field Cultivation / Disc"," Roundup PowerMAX",NA," None",36.11,-89.34,"Corn","TN",201
235.96,15.2,"30134",2014-04-24,2014-11-03,34000," Soybeans",30," Sandy Loam"," Field Cultivation"," Confidence Xtra",NA," None",39.7,-87.21,"Corn","IN",2014
274.64,14.82,"30136",2014-04-27,2014-09-19,34000," Corn",30," Silt Loam"," Disc / Conv.-Till"," Roundup Ultra Max"," Quilt Xcel"," Tombstone",37.66,-87.88,"Corn","KY",2014
246.34,9.53,"30137",2014-04-23,2014-10-17,35000," Soybeans",30," Silty Clay Loam"," Field Cultivation / Vertical-Till"," Aatrex 4L, Corvus",NA," None",39.41,-88.52,"Corn","IL",2014
216.77,8.22,"30139",2014-04-24,2014-10-18,30000," Soybeans",30," Clay Loam"," No-Till"," 3 qt. Lexar",NA," None",38.89,-85.14,"Corn","IN",2014
213.21,15.51,"30140",2014-04-24,2014-10-05,32000," Soybeans",30," Clay Loam"," Chisel / Disc"," 3 qt. Lexar",NA," None",39.33,-85.34,"Corn","IN",2014
235.46,18.7,"30142",2014-04-22,2014-10-01,30500," Soybeans",30," Clay Loam"," Vertical-Till"," 2 lb. Aatrex, 2,4-D",NA," None",39.72,-91.53,"Corn","MO",2014
278.3,NA,"30143",2014-04-22,2014-09-18,33500," Soybeans",30," Silt Loam"," V-Rip / Field Cultivation"," Steadfast"," Headline AMP"," Warrior",38.2,-87.56,"Corn","IN",2014
269.6,NA,"30144",2014-04-23,2014-09-29,34000," Corn",30," Silt Loam"," Chisel / Field Cultivation"," Lexar, Steadfast"," Headline AMP"," Warrior",38.2,-87.56,"Corn","IN",2014
244.3,NA,"30148",2014-04-23,2014-09-10,36000," Corn",30," Silt Loam"," V-Rip / Field Cultivation"," 3 qt. Degree Xtra, 1 qt. Atrazine",NA," None",38.27,-87.63,"Corn","IN",2014
